学習セクション,フラッシュカードの種類,表,裏,裏イメージワード
セクション1-3:代名詞 (Pronouns),学習事項の基礎的な説明,"Q: 代名詞とは何ですか？","A: 代名詞は、名詞の代わりに使われ、特定の人物や物、場所を指す言葉です。例えば、he, she, itなどがあります。","words"
セクション1-3:代名詞 (Pronouns),例文,"Q: ""He is a doctor. He works at a hospital."" この文では、どの単語が代名詞ですか？","A: 代名詞は'He'です。","doctor"
セクション1-3:代名詞 (Pronouns),練習問題,"Q: 以下の文章に代名詞を入れてください。 ""_____ is raining. So, _____ will stay home.""","A: It is raining. So, I will stay home.","rain"
セクション1-3:代名詞 (Pronouns),同じカテゴリ内の拡張,"Q: 再帰代名詞とは何ですか？1つ例を挙げてください。","A: 再帰代名詞は、行為の主体とその行為の受け手が同一であることを示します。英語の再帰代名詞は、myself, yourself, herself, himself, itself, ourselves, yourselves, themselvesなどがあります。例：""I taught myself to play the piano.""","piano"
セクション1-3:代名詞 (Pronouns),異なるカテゴリとの関連性,"Q: 代名詞と動詞の相互作用は何ですか？","A: 代名詞は、しばしば、動詞と共に文の主題を形成します。その代名詞が何をするか、または何がその代名詞に起こるかを説明します。例：""She runs fast.""（彼女は早く走る）では、代名詞の"She"は動詞の"runs"の主題であり、行動の主体を示しています。","running"
セクション1-3:代名詞 (Pronouns),文化的・社会的文脈,"Q: 英語の代名詞の使用が社会的な側面の変化を反映する例を挙げてください。","A: 近年のジェンダー多様性の認識の増加を反映して、代名詞 'they' が単数形でのジェンダー中立形としての使用が増えてきています。例えば、ある人が男性でも女性でもない場合、またはその性別が不明な場合、その人を指して 'they' を使用します。","gender neutral"
セクション1-3:代名詞 (Pronouns),実用的な派生,"Q: 「You」はどのような異なる状況で使用されますか？","A: 「You」は、聞き手の一人または複数の人を指し示すために使用される。また、「you」は非常に公式の状況から非公式の状況まで、様々な状況で使用されます。例: ""Can you help me?"" (あなたは私を助けてくれますか？)","helping"
セクション1-4:動詞 (Verbs),学習事項の基礎的な説明,"Q: 動詞とは何ですか？","A: 動詞は、行動、出来事、状態を表す単語です。動詞は一般的に文の主要部分を形成し、主語（誰かまたは何か）が何をするかを示します。","running"
セクション1-4:動詞 (Verbs),例文,"Q: 「She studies English every day.」この文の動詞は何ですか？","A: この文の動詞は'studies'です。","study"
セクション1-4:動詞 (Verbs),練習問題,"Q: 以下の文で使われている動詞は何ですか？ ""The cat drinks milk.""",A: この文で使われている動詞は 'drinks' です。","cat"
セクション1-4:動詞 (Verbs),同じカテゴリ内の拡張,"Q: 不定詞とは何ですか？","A: 不定詞は、「to」と基本形の動詞からなる形で、名詞、形容詞、副詞として機能します。例：I like to dance.（私は踊るのが好きです。）","dancing"
セクション1-4:動詞 (Verbs),異なるカテゴリとの関連性,"Q: 動詞と助動詞が一緒に使われる理由は何ですか？","A: 助動詞は、主動詞の意味や時制、態素、能力、必要性、可能性、確実性などを補助・修飾します。例: ""Can run"" では助動詞の ""Can"" は走る能力を示します。","running"
セクション1-4:動詞 (Verbs),文化的・社会的文脈,"Q: 英語のスラングや口語表現では、動詞の形や使われ方が標準的な文法ルールと異なることがありますか？","A: はい、スラングや口語表現では、しばしば文法規則が曖昧になり、異なる形の動詞が使われることがあります。例えば、「Gonna」は「Going to」の口語形で、未来を示す助動詞的な意味を持っています。","slang"
セクション1-4:動詞 (Verbs),実用的な派生,"Q: 'run'の基本的な意味以外に、どのように使われるかを示すフレーズを挙げてください。","A: 「run」は「経営する」や「作動する」などの意味でも使われます。例: ""run a business""（ビジネスを経営する）, ""My computer is running slow.""（私のコンピューターは動きが遅い）","run business"
